chr	max_distance	density
VII	165	0.13007956441234164
VIII	165	0.1207995123017615
IX	165	0.18070736187393155
X	165	0.15624652196242445
XI	165	0.1722244217295326
XII	165	0.14623109192646477
XIII	165	0.1578949645782108
XIV	165	0.15072679588899102
XV	165	0.1517514576771915
XVI	165	0.14863522159849632
I	170	0.18372151612819154
II	170	0.17309489611207304
III	170	0.08754223515154552
IV	170	0.15772948294736128
V	170	0.17571302098703281
VI	170	0.17742383245546176
VII	170	0.13438777567968907
VIII	170	0.12349038377799067
IX	170	0.18604508420325175
X	170	0.16210504578605997
XI	170	0.17876595642576062
XII	170	0.15059030196340675
XIII	170	0.16514915661634022
XIV	170	0.15481689537479618
XV	170	0.15776543561708106
XVI	170	0.15218033343670168
I	175	0.1912013830369476
II	175	0.17882545647725484
III	175	0.09078952724813132
IV	175	0.16270032697252426
V	175	0.18232506466228063
VI	175	0.1812622843415593
VII	175	0.1405815168570224
VIII	175	0.12934845008291226
IX	175	0.18878896446368165
X	175	0.1685897839895622
XI	175	0.18601983155773108
XII	175	0.15507565084397087
XIII	175	0.1703848096829293
XIV	175	0.1623213609525546
XV	175	0.16283466096577356
XVI	175	0.15745528264909828
I	180	0.1989592473221034
II	180	0.18627641468597514
III	180	0.09302536770807564
IV	180	0.16851454991830583
V	180	0.1891141701529328
VI	180	0.18978312931918376
VII	180	0.1459594478156452
VIII	180	0.1353540344410221
IX	180	0.19446995598879716
X	180	0.17599037748524643
XI	180	0.19241289951050963
XII	180	0.1598726368676015
XIII	180	0.1794282104343104
XIV	180	0.16846925986793876
XV	180	0.16936729066765877
XVI	180	0.1629074347144608
I	185	0.2077118209696896
II	185	0.19213363765150324
III	185	0.09475078520587582
IV	185	0.17388750030190617
V	185	0.19513600777683268
VI	185	0.19858158653543628
VII	185	0.15048490292775038
VIII	185	0.13990576617855371
IX	185	0.20238788055141307
X	185	0.18237186406722888
XI	185	0.1987189869469239
XII	185	0.1654709755448317
XIII	185	0.18377466787678043
XIV	185	0.17429586667907637
XV	185	0.1739050354121861
XVI	185	0.16774254113110268
I	190	0.21583890052037633
II	190	0.19744116952620808
III	190	0.09651691128347889
IV	190	0.17915470193539795
V	190	0.2010050861874425
VI	190	0.20622887833551104
VII	190	0.15410288375162703
VIII	190	0.14255753648405828
IX	190	0.20709589713745316
X	190	0.19068965378524466
XI	190	0.205764408772435
XII	190	0.17122327781060068
XIII	190	0.19210087069775894
XIV	190	0.18149306480793234
XV	190	0.1782173590728779
XVI	190	0.17329278763292852
I	195	0.22088629038563448
II	195	0.20409157091138044
III	195	0.10073494643690327
IV	195	0.18495586947993156
V	195	0.20737410384154703
VI	195	0.21409455842997324
VII	195	0.1590609932718573
VIII	195	0.15045597297042707
IX	195	0.21323836976684973
X	195	0.19430346053843708
XI	195	0.21271985075343122
XII	195	0.1773187519303417
XIII	195	0.19712017446407573
XIV	195	0.18813565156636275
XV	195	0.18405356591413288
XVI	195	0.17737900104001197
I	200	0.22605096039406128
II	200	0.20750777191877853
III	200	0.10507197590052075
IV	200	0.18974067403731104
V	200	0.21356258787994514
VI	200	0.21556405254644453
VII	200	0.16341411993326857
VIII	200	0.1546682354530315
