chr	max_distance	density
V	265	0.709082229590154
VI	265	0.7249380924707859
VII	265	0.7794745815535227
VIII	265	0.799402107553102
IX	265	0.7136066453279016
X	265	0.7280835024022764
XI	265	0.700103176888377
XII	265	0.7474589051704869
XIII	265	0.7258713738505091
XIV	265	0.7329680123110974
XV	265	0.7514851675675874
XVI	265	0.7511839893003229
I	270	0.7033594245454309
II	270	0.7128312903352747
III	270	0.8521965410232885
IV	270	0.7348186898513186
V	270	0.7025656604232124
VI	270	0.7179829805190239
VII	270	0.7757933525216786
VIII	270	0.7946388740284692
IX	270	0.7099398028589096
X	270	0.7212541451503249
XI	270	0.6932557107207985
XII	270	0.74373224433465
XIII	270	0.722096078560758
XIV	270	0.729547271375806
XV	270	0.7490321096756044
XVI	270	0.7466632069919182
I	275	0.7021735919867256
II	275	0.7077992188729734
III	275	0.8513385294182118
IV	275	0.7307232104798317
V	275	0.6983040255524502
VI	275	0.7119199292273867
VII	275	0.771535556492566
VIII	275	0.7922199334213702
IX	275	0.7024924526243044
X	275	0.714679564626799
XI	275	0.6895725357519915
XII	275	0.7389111435320916
XIII	275	0.7173666828568059
XIV	275	0.7267627398056693
XV	275	0.7450240128435037
XVI	275	0.7434883225429453
I	280	0.698563969802535
II	280	0.7009705060601291
III	280	0.8478438544135929
IV	280	0.7280018120896932
V	280	0.6925130626486364
VI	280	0.7088439856233876
VII	280	0.7689808788750986
VIII	280	0.790243546973836
IX	280	0.6968091877932565
X	280	0.7087231529022422
XI	280	0.6841572487762742
XII	280	0.7342616286565193
XIII	280	0.7119644408290072
XIV	280	0.7239272094888268
XV	280	0.740184790307993
XVI	280	0.7388093234015354
I	285	0.692408934140684
II	285	0.696089691877853
III	285	0.8460620711899118
IV	285	0.7241197885286106
V	285	0.6871126772788029
VI	285	0.7036063680546045
VII	285	0.7637853594148166
VIII	285	0.786710223001086
IX	285	0.6897414796493653
X	285	0.7045394508354665
XI	285	0.6778046717535272
XII	285	0.7274250888304982
XIII	285	0.7067471774529414
XIV	285	0.7181426766437214
XV	285	0.7362958184388948
XVI	285	0.733731617840952
I	290	0.6899113014620925
II	290	0.690073833228396
III	290	0.8424452704458842
IV	290	0.719608494627376
V	290	0.679599701425174
VI	290	0.7036063680546045
VII	290	0.7608814416924854
VIII	290	0.7826348146160176
IX	290	0.6851744080311352
X	290	0.6999092190288716
XI	290	0.6708867213744122
XII	290	0.7239581256138834
XIII	290	0.7014487830892733
XIV	290	0.714111225716628
XV	290	0.7315463977985707
XVI	290	0.7288743610676894
I	295	0.687361544275426
II	295	0.682151886903825
III	295	0.8387971554097006
IV	295	0.7138680346986455
V	295	0.674017046539483
VI	295	0.6992719156354914
VII	295	0.7565924798797368
VIII	295	0.7810689904610917
